"","Model","Regression","Parameter","Mean","2.5% percentile","Median","97.5% percentile","Mode","SD","WAIC"
"31","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Infected vector abundance",0.443368265744063,0.214721709239543,0.443368265744063,0.672014822248582,0.443368265744063,0.116658550008089,272.424295874839
"32","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Mobility",-1.59689256909145,-2.91970414617646,-1.59689256909145,-0.274080992006454,-1.59689256909145,0.674916267604492,272.424295874839
"33","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","Harmonic",-0.196490095654934,-0.430626411900731,-0.196490095654934,0.0376462205908627,-0.196490095654934,0.119459499303372,272.424295874839
"34","infection2.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic","mover:harmonic",0.616456447883544,0.235681717460073,0.616456447883544,0.997231178307014,0.616456447883544,0.194276391518912,272.424295874839
"40","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Age",0.172195694239707,0.0772035128559006,0.17109300496049,0.273553075936036,0.171117246045421,0.0499678237426941,262.579411797082
"41","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Mother's serostatus",1.57768613835676,0.675053032540268,1.57664965761122,2.48672919688063,1.5768311965375,0.461072262795445,262.579411797082
"42","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Social vulnerability",0.121690294285309,-0.332748249672362,0.120642022030469,0.582313358000391,0.12070543959483,0.232559305964377,262.579411797082
"48","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Host availability",-0.491841056614588,-1.13255622613906,-0.494796045110484,0.166603551820781,-0.494496438415159,0.329674491767587,262.579411797082
"45","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Infected vector abundance",0.435889230642289,0.211911031531426,0.434994489621377,0.665047041115251,0.435038757774782,0.115438514430501,262.579411797082
"46","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Mobility",-1.66448916957661,-3.06367551097747,-1.65981559093065,-0.292809266938973,-1.66010654423639,0.705827128921951,262.579411797082
"47","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Harmonic",-0.223654707450016,-0.490909020221627,-0.22193013820964,0.0334410156312832,-0.222041666423887,0.133383958081618,262.579411797082
"43","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","mover:harmonic",0.623474340571517,0.216604039351727,0.621627477311968,1.04130124768705,0.621771079860645,0.209961635877781,262.579411797082
"49","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","Range for spatial field",304.912044118193,89.5253427831033,259.504420635941,790.900327622052,190.080586134014,186.066286170928,262.579411797082
"44","infection2.1","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     mover * harmonic + f(spatial.field, model = spde)","SD for spatial field",2.19704189302755,0.770279623512976,2.00197198923841,4.74634623596105,1.64348325988158,1.03446622261461,262.579411797082
"50","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Age",0.155264357944504,0.064394179856115,0.154575218317425,0.250103039126422,0.154587313740805,0.0472983994868982,267.218902965233
"51","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mother's serostatus",1.57002013134294,0.681550644682846,1.56953259159331,2.46155836171681,1.5696305692775,0.453283139466914,267.218902965233
"52","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Social vulnerability",0.158190252575229,-0.291849243549884,0.157498004023073,0.612462802198301,0.157589512378052,0.229980623507156,267.218902965233
"56","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Host availability",-0.448593456422725,-1.07693095067505,-0.451764792404044,0.198488669116629,-0.451530514072049,0.324049329978006,267.218902965233
"53","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Infected vector abundance",0.402844590982553,0.195853289103005,0.40220942127238,0.613412072936606,0.402199297135802,0.106349972536316,267.218902965233
"54","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Mobility",-0.229233552722576,-1.11987220087679,-0.224780895335604,0.636070034559332,-0.224794182088908,0.446916632897532,267.218902965233
"55","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Harmonic",0.00823013593294304,-0.182121209878983,0.00818555380183593,0.198862941259859,0.00819515321855373,0.0970151935514681,267.218902965233
"58","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","Range for spatial field",348.514084854408,86.5785233526338,282.479855768894,1008.70458764093,190.735220782272,249.104644653462,267.218902965233
"59","infection2.2","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     f(spatial.field, model = spde)","SD for spatial field",2.03969090409191,0.684874254570735,1.84583360621718,4.51060722199985,1.49067500974107,0.997214780944726,267.218902965233
"62","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Age",0.13932828798321,0.0536448962460104,0.13932828798321,0.22501167972041,0.13932828798321,0.0437168194992661,262.576124897035
"63","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Mother's serostatus",1.58998976188659,0.766552737154311,1.58998976188659,2.41342678661886,1.58998976188659,0.420128650948407,262.576124897035
"64","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Social vulnerability",0.170708567565167,-0.255851487231022,0.170708567565167,0.597268622361355,0.170708567565167,0.217636680143533,262.576124897035
"65","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Host availability",-0.747656156327084,-1.3097385162624,-0.747656156327084,-0.185573796391766,-0.747656156327084,0.286781983938967,262.576124897035
"66","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Infected vector abundance",1.36522268288358,0.79278414000898,1.36522268288358,1.93766122575818,1.36522268288358,0.29206584783696,262.576124897035
"67","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Mobility",-0.0771886391820741,-0.869757770861393,-0.0771886391820741,0.715380492497245,-0.0771886391820741,0.404379436525877,262.576124897035
"68","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","Harmonic",0.171715469366693,-0.0171461795626859,0.171715469366693,0.360577118296071,0.171715469366693,0.0963597547807487,262.576124897035
"60","infection3.0","y ~ age + mom.serology + svi + hai + iva + mover + harmonic +     iva * harmonic","iva:harmonic",-0.26656182148816,-0.398120239429985,-0.26656182148816,-0.135003403546335,-0.26656182148816,0.0671228752056371,262.576124897035
